address,latitude,longitude,visit_count,type
Parc Maurice-Bélanger (Hébert / Denommée),45.5877138,-73.6317182,86,low
Hillside / Ste-Catherine,45.482826,-73.590843,876,low
Parc Plage,45.502828,-73.527793,607,low
de la Commune / Queen,45.496842,-73.5528928,330,low
Aird / Pierre-de-Coubertin,45.5589253,-73.5480573,95,low
Complexe sportif Claude Robillard (Émile-Journault),45.5529855,-73.6386477,95,low
Wolfe / de la Gauchetière,45.5162224,-73.5529733,345,low
Métro Cadillac (Cadillac / Sherbrooke),45.5768333,-73.5464742,541,low
Le Corbusier / St-Martin O,45.5650067,-73.7319054,64,low
Christophe-Colomb / Gilford,45.5297028,-73.5828853,228,low
Notre-Dame  / St-Martin,45.4883019,-73.5687178,895,low
Clark / Fleury,45.547581,-73.665234,600,low
Shearer / Centre,45.483006,-73.562187,900,low
Lanaudière / Jean-Talon,45.5454627,-73.6107802,677,low
de St-Firmin / Fleury,45.570657,-73.651842,442,low
Métro Joliette  (Hochelaga / Joliette),45.5469919,-73.5511534,830,low
Ontario / Sicard,45.556262,-73.537441,968,low
Charles-Daoust / 75e avenue,45.5425059,-73.7409532,65,low
Murray / Wellington,45.4921472,-73.5579836,884,low
du Havre / Hochelaga,45.535753,-73.557941,248,low
Parc d'Antioche (Place d'Antioche / St-Zotique),45.595352,-73.55859,137,low
St-Jacques / des Seigneurs,45.489186,-73.5719,459,low
29e avenue / St-Zotique,45.567766,-73.579688,701,low
Gare Bois-de-Boulogne,45.539726,-73.677165,319,low
LaSalle / Godin,45.446934,-73.572199,853,low
Métro Henri-Bourassa (Henri-Bourassa / Millen),45.556751,-73.667162,820,low
de Bordeaux / Jean-Talon,45.549755,-73.605566,759,low
St-Marc / Sherbrooke,45.494514,-73.583368,554,low
de la Côte-Ste-Catherine / Decelles,45.500941,-73.625637,673,low
de Gaspé / Jarry,45.54078,-73.630401,839,low
de la Petrie /de la Cote-des-Neiges,45.4996658,-73.6302906,123,low
de Laprairie / Centre,45.4813667,-73.5643189,592,low
Chabot / Villeray,45.5522894,-73.6130065,830,low
Coolbrook / Queen-Mary,45.482852,-73.630344,37,low
Liébert / Hochelaga,45.595875,-73.523528,325,low
Métro Jolicoeur (de Sève / Drake),45.4560855,-73.5819371,757,low
Louis-Hémon / Jean-Talon,45.5517743,-73.6034784,976,low
Carrefour Angrignon (Angrignon / Newman),45.4484341,-73.6129455,121,low
du Champ-de-Mars / Gosford,45.509655,-73.554009,807,low
Parc de Dieppe,45.5018635,-73.543961,698,low
St-Patrick / Briand,45.463397,-73.596436,436,low
Drolet / Gounod,45.540951,-73.626375,968,low
Parc Eusèbe-Ménard (Gouin / St-Vital),45.5925395,-73.6487482,193,low
Hogan / Ontario,45.535295,-73.55116,740,low
Parc Pratt (Dunlop / Van Horne),45.515007,-73.619788,614,low
du Marché Central / Crémazie,45.5334174,-73.6488837,372,low
Parc Villeray (Christophe-Colomb / Jarry),45.5480925,-73.624261,982,low
de l'Église / Bannantyne,45.463254,-73.575879,971,low
Boyer / St-Joseph,45.5295423,-73.5846072,698,low
2e avenue / Jean-Rivard,45.562509,-73.61656,315,low
St-Dominique / Gounod,45.538738,-73.628022,357,low
de Gaspé / Marmier,45.529686,-73.601728,576,low
Lacombe / Victoria,45.490628,-73.628878,469,low
Duke / Nazareth,45.4957224,-73.5546134,520,low
Harvard / de Monkland,45.474565,-73.624036,780,low
des Jockeys / Décarie,45.4940443,-73.6544949,257,low
St-Hubert / René-Levesque,45.5143692,-73.556487,836,low
Ropery / Augustin-Cantin,45.480914,-73.56846,972,low
